file	line	kind	name	tells_us	statement
groups/free_group_ball.v	53	Lemma	letter_inv_lt		Lemma letter_inv_lt (i : nat) : i < alpha -> letter_inv i < alpha.
groups/free_group_ball.v	56	Lemma	letter_invK		Lemma letter_invK (i : nat) : i < alpha -> letter_inv (letter_inv i) = i.
groups/free_group_ball.v	66	Lemma	letter_inv_neq		Lemma letter_inv_neq (i : nat) : i < alpha -> letter_inv i != i.
groups/free_group_ball.v	102	Lemma	sphere_size_0	(* Key recurrence: each reduced word of length k extends to exactly (2r - 1) reduced words of length k+1 (all letters except the inverse of the last letter). The first letter has 2r choices. *)	Lemma sphere_size_0 : sphere_size 0 = 1.
groups/free_group_ball.v	105	Lemma	sphere_size_1		Lemma sphere_size_1 : sphere_size 1 = alpha.
groups/free_group_ball.v	108	Lemma	sphere_size_S		Lemma sphere_size_S (k : nat) :
groups/free_group_ball.v	129	Lemma	ball_size_0		Lemma ball_size_0 : ball_size 0 = 1.
groups/free_group_ball.v	132	Lemma	ball_size_S		Lemma ball_size_S (L : nat) :
groups/free_group_ball.v	136	Lemma	ball_size_ge1		Lemma ball_size_ge1 (L : nat) : 0 < ball_size L.
groups/free_group_ball.v	148	Lemma	geom_series_nat	(* (q - 1) * sum_{k=0}^{L} q^k = q^{L+1} - 1, for q >= 1 *)	Lemma geom_series_nat (q L : nat) :
groups/free_group_ball.v	165	Lemma	geom_series_div	(* Variant: sum_{k=0}^{L} q^k = (q^{L+1} - 1) / (q - 1), for q >= 2 *)	Lemma geom_series_div (q L : nat) :
groups/free_group_ball.v	189	Lemma	alpha_gt1		Lemma alpha_gt1 : 1 < alpha.
groups/free_group_ball.v	192	Lemma	q_gt0		Lemma q_gt0 : 0 < q.
groups/free_group_ball.v	196	Lemma	ball_size_sum	(* ball_size r L = 1 + alpha * sum_{k=0}^{L-1} q^k *)	Lemma ball_size_sum (L : nat) :
groups/free_group_ball.v	205	Lemma	ball_size_formula	(* Main formula, stated multiplicatively to avoid division: (q - 1) * (ball_size r L - 1) = alpha * (q^L - 1) *)	Lemma ball_size_formula (L : nat) :
groups/free_group_ball.v	219	Lemma	ball_size_div	(* Division form for display: ball_size r L = 1 + alpha * (q^L - 1) / (q - 1) i.e., 1 + 2r * ((2r-1)^L - 1) / (2r - 2) *)	Lemma ball_size_div (L : nat) :
groups/free_group_ball.v	230	Lemma	ball_size_lower	(* Exponential lower bound: ball_size r L >= q^L = (2r-1)^L *)	Lemma ball_size_lower (L : nat) : q ^ L <= ball_size r L.
groups/free_group_ball.v	265	Lemma	search_space_exp_growth	(* For word-eval injective generators with branching factor Tg = 2r, the search space is Tg^L by weval_inj_search_space. The ball_size gives the size when restricted to reduced words. Key insight: wo…	Lemma search_space_exp_growth (r L : nat) :
groups/pgg_raag.v	94	Lemma	foata_depth_at_ext	(* Extensionality: foata_nf depends only on crel values at word elements *)	Lemma foata_depth_at_ext comm1 comm2 prev x :
groups/pgg_raag.v	105	Lemma	foata_pairs_ext		Lemma foata_pairs_ext comm1 comm2 prev w :
groups/pgg_raag.v	123	Lemma	foata_nf_ext		Lemma foata_nf_ext comm1 comm2 w :
groups/pgg_raag.v	132	Lemma	leq_sum_sub		Lemma leq_sum_sub (I : finType) (P Q : pred I) (f : I -> nat) :
groups/pgg_raag.v	213	Lemma	swap_word_tnth		Lemma swap_word_tnth L' (k : 'I_L') (w : pgg_word M L'.+1)
groups/pgg_raag.v	249	Lemma	word_eval_adj_swap	(* Swapping adjacent commuting generators preserves word_eval *)	Lemma word_eval_adj_swap L (w1 w2 : pgg_word M L) :
groups/pgg_raag.v	354	Lemma	word_eval_trace		Lemma word_eval_trace L (w1 w2 : pgg_word M L) :
groups/pgg_raag.v	367	Lemma	adj_swap_sym_sym	(* adj_swap_sym is symmetric *)	Lemma adj_swap_sym_sym L : symmetric (@adj_swap_sym L).
groups/pgg_raag.v	371	Lemma	search_space_le_traces	(* Search space bounded by number of traces *)	Lemma search_space_le_traces L : @search_space M L <= n_traces L.
groups/pgg_raag.v	389	Lemma	raag_weval_inj_search_space		Lemma raag_weval_inj_search_space L :
groups/pgg_raag.v	414	Lemma	n_traces_le_words	(* Upper bound: n_traces <= Tg^L *)	Lemma n_traces_le_words L : n_traces L <= Tg ^ L.
groups/pgg_raag.v	421	Lemma	search_space_chain		Lemma search_space_chain L :
groups/pgg_raag.v	432	Lemma	empty_comm_adj_swap	(* Empty comm -> n_traces = Tg^L (free case) *)	Lemma empty_comm_adj_swap L (w1 w2 : pgg_word M L) :
